community,SEVERITY
ALBANY PARK,67.25
ARCHER HEIGHTS,9.0
ARMOUR SQUARE,18.75
ASHBURN,9.25
AUBURN GRESHAM,21.5
AUSTIN,93.75
AVALON PARK,4.0
AVONDALE,53.75
BELMONT CRAGIN,90.25
BEVERLY,12.25
BRIDGEPORT,47.75
BRIGHTON PARK,27.25
BURNSIDE,1.0
CALUMET HEIGHTS,4.75
CHATHAM,21.25
CHICAGO LAWN,34.5
CLEARING,14.0
DOUGLAS,16.0
DUNNING,34.0
EAST GARFIELD PARK,34.75
EAST SIDE,12.5
EDGEWATER,61.5
EDISON PARK,4.5
ENGLEWOOD,29.75
FOREST GLEN,20.5
FULLER PARK,1.75
GAGE PARK,30.75
GARFIELD RIDGE,19.25
GRAND BOULEVARD,12.75
GREATER GRAND CROSSING,34.25
HEGEWISCH,1.25
HERMOSA,31.5
HUMBOLDT PARK,92.5
HYDE PARK,20.75
IRVING PARK,72.25
JEFFERSON PARK,29.0
KENWOOD,11.5
LAKE VIEW,205.25
LINCOLN PARK,174.5
LINCOLN SQUARE,61.5
LOGAN SQUARE,188.75
LOOP,113.0
LOWER WEST SIDE,65.5
MCKINLEY PARK,15.25
MONTCLARE,12.0
MORGAN PARK,10.5
MOUNT GREENWOOD,10.75
NEAR NORTH SIDE,233.5
NEAR SOUTH SIDE,33.75
NEAR WEST SIDE,195.25
NEW CITY,32.25
NORTH CENTER,55.25
NORTH LAWNDALE,43.75
NORTH PARK,27.5
NORWOOD PARK,26.0
OAKLAND,1.5
OHARE,3.5
PORTAGE PARK,69.0
PULLMAN,2.5
RIVERDALE,1.0
ROGERS PARK,61.75
ROSELAND,16.0
SOUTH CHICAGO,15.5
SOUTH DEERING,5.25
SOUTH LAWNDALE,41.5
SOUTH SHORE,32.25
UPTOWN,106.5
WASHINGTON HEIGHTS,10.0
WASHINGTON PARK,11.25
WEST ELSDON,18.5
WEST ENGLEWOOD,44.75
WEST GARFIELD PARK,22.75
WEST LAWN,20.75
WEST PULLMAN,12.0
WEST RIDGE,95.0
WEST TOWN,283.25
WOODLAWN,28.5
