victim,month,sev,count,avg_sev
Biker,jan,13.75,38,0.361842105
Car,jan,543.75,6897,0.078838625
Pedestrian,jan,67.25,137,0.490875912
Biker,feb,5.25,14,0.375
Car,feb,426.75,8261,0.051658395
Pedestrian,feb,57,124,0.459677419
Biker,mar,24,70,0.342857143
Car,mar,567.5,7447,0.076205183
Pedestrian,mar,83.75,162,0.516975309
Biker,apr,39.5,104,0.379807692
Car,apr,693.25,7919,0.087542619
Pedestrian,apr,68.5,145,0.472413793
Biker,may,51,144,0.354166667
Car,may,839.25,9331,0.089942128
Pedestrian,may,88.25,175,0.504285714
Biker,jun,77.5,198,0.391414141
Car,jun,898.5,9937,0.090419644
Pedestrian,jun,101.5,200,0.5075
Biker,jul,91,229,0.397379913
Car,jul,894.25,9597,0.09318016
Pedestrian,jul,100.75,189,0.533068783
Biker,aug,82.5,213,0.387323944
Car,aug,772.25,9562,0.080762393
Pedestrian,aug,113.25,212,0.534198113
Biker,sep,71.25,203,0.350985222
Car,sep,772.75,9463,0.08166015
Pedestrian,sep,122,230,0.530434783
Biker,oct,64.5,172,0.375
Car,oct,773.5,9839,0.078615713
Pedestrian,oct,128.5,261,0.492337165
Biker,nov,30,86,0.348837209
Car,nov,661.25,8485,0.077931644
Pedestrian,nov,100.5,203,0.495073892
Biker,dec,23,66,0.348484848
Car,dec,651.25,8227,0.079160083
Pedestrian,dec,103,216,0.476851852
